Age,Salary,Expenses,RiskCategory,EmergencyFund,EquityAllocation,FixedIncomeAllocation,GoldAllocation,AdditionalNotes,DirectEquityAllocation,MutualFundAllocation,FDAllocation,RDAllocation,PPFAllocation,NSCAllocation
54,146538,83484,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
51,56580,37095,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
46,126426,104419,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
66,88160,49921,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
55,78092,60277,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
53,134500,87992,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
49,127345,65108,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
62,79436,54015,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
29,103739,80981,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
31,114089,58420,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
58,48962,36816,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
59,134267,71471,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
30,66929,49886,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
28,42727,38378,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
21,99215,79716,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
36,43829,30548,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
42,89022,64503,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
69,131833,112111,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
41,94786,60191,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
35,25363,15568,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
64,40708,26242,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
33,59646,36976,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
32,96468,85669,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
64,46924,38749,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
55,139458,78416,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
41,50168,33973,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
69,63809,50297,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
69,94235,84547,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
44,43057,32040,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
54,52008,35204,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
70,112717,65380,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
34,69843,41334,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
64,48250,33480,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
25,43563,21841,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
24,151712,127812,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
36,90061,49420,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
52,128681,83019,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
60,83655,51072,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
56,147048,103204,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
23,37108,24854,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
35,59690,46707,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
57,100547,83571,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
63,78131,54742,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
39,153479,84159,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
55,59124,36347,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
25,65514,42626,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
43,149406,85167,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
45,60932,39589,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
31,28688,20955,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
31,103102,91939,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
23,87977,64005,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
60,74178,39471,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
38,83671,62516,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
26,145545,118797,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
22,53649,41383,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
28,141558,87040,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
47,35246,22577,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
33,155627,98938,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
51,73364,57392,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
54,67571,54933,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
54,83648,60864,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
46,43134,27484,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
58,121464,72676,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
20,84512,59887,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
40,33941,23847,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
34,84060,56331,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
27,85729,58788,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
24,101116,85640,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
54,157423,133154,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
47,42460,31872,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
66,30134,18240,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
29,128735,113126,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
27,139647,108542,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
36,151513,99728,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
24,60199,45375,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
70,84757,72811,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
44,77906,40020,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
52,131581,114040,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
35,47409,25462,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
31,97555,49292,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
47,40431,29554,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
58,78213,61712,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
47,137732,90270,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
54,56342,45279,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
43,63529,38902,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
42,145546,122750,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
24,70648,48294,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
36,74077,47229,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
66,51873,33014,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
23,148425,130913,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
36,149479,81166,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
46,39090,32360,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
53,92155,50467,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
31,72652,62494,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
30,86214,70830,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
28,66659,45749,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
30,77669,52100,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
60,96237,80442,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
33,57606,30047,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
48,73617,46323,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
49,52421,36853,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
39,87103,64993,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
59,136069,107587,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
46,157896,115960,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
23,68862,50426,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
37,61612,51831,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
24,105623,71389,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
23,134259,111120,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
65,70883,47774,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
29,61247,40021,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
62,60882,51256,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
29,73354,59616,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
38,51175,30779,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
50,84810,59906,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
40,114584,70745,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
27,96030,59614,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
59,71791,50116,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
61,25533,19341,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
57,99744,77511,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
27,133589,95450,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
39,55305,43172,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
47,59873,48597,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
23,68142,58709,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
46,142747,77707,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
68,112076,82450,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
42,155310,134038,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
67,89498,76939,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
39,127938,90286,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
28,142343,112862,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
41,71886,64605,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
67,132508,81053,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
38,126932,91843,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
39,90381,58789,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
43,157596,79188,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
46,109758,95263,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
32,150484,100920,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
51,117966,92230,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
66,131850,92712,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
65,108050,66734,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
64,54229,27239,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
43,81165,59713,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
65,93446,50439,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
67,43176,25378,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
54,102880,83785,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
25,60964,45715,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
37,76272,48372,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
57,147550,81392,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
62,95742,78769,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
64,56563,33614,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
39,60589,46866,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
49,119280,91692,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
63,51798,37893,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
33,91971,77880,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
68,88984,72550,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
54,35920,23213,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
52,47104,27970,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
39,38517,28563,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
49,92563,69652,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
59,99141,66903,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
46,117445,69087,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
20,124549,102178,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
70,116468,71181,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
48,78051,55935,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
32,155055,109195,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
33,129495,110559,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
34,116989,70076,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
56,151523,109131,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
50,158609,124508,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
47,120851,79016,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
51,122034,71369,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
22,66234,43632,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
51,59162,38797,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
48,133616,99470,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
29,41672,25678,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
48,63407,40273,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
55,123350,105867,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
22,140487,74192,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
58,40186,27348,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
45,120795,102565,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
31,57856,42867,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
39,54518,49012,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
44,123749,91868,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
38,105027,62644,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
63,64642,41591,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
69,47375,35298,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
49,82831,59491,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
51,89500,59483,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
66,61414,37412,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
60,25058,20292,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
63,145621,89626,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
60,83444,44684,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
30,89039,54030,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
32,155078,122383,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
65,148028,131859,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
53,39450,35167,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
68,62765,47657,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
68,45922,39384,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
22,118567,73023,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
61,77083,53395,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
42,106425,82985,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
23,52767,33138,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
28,38888,20917,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
49,97845,83200,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
31,130556,101021,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
46,63587,48535,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
70,120880,65919,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
40,51836,26049,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
26,52860,41806,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
38,63327,39340,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
20,61544,40476,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
48,91458,49127,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
24,68430,52780,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
45,26345,18048,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
66,82254,55435,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
67,77059,45646,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
65,69867,37358,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
41,32212,28662,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
25,140999,120608,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
25,156786,103239,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
67,62906,31726,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
39,82755,54373,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
58,49024,36766,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
62,80710,71780,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
46,52074,27925,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
34,132276,77927,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
68,139345,82585,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
49,157790,99388,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
